"date","bite","species","breed","gender","color","wherebitten","country"
2015,1,Dog,Pit Bull,Male,Wht Brn,Unknown,Netherlands
2015,1,Dog,Basset Hound,Male,Tricolor,Unknown,Germany
2015,1,Dog,Labrador Retriv,Unknown,Blk Wht,Unknown,Belgium
2015,1,Dog,Beagle,Male,Brn Wht,Body,Belgium
2015,1,Dog,Chow Chow,Female,Silver,Body,France
2015,1,Dog,Pit Bull,Unknown,Unknown,Body,France
2015,1,Dog,Austt. Terr,Female,Blk Wht,Body,Netherlands
2015,1,Dog,Germ Shepherd,Male,Blk Brn,Body,England
2015,1,Dog,Pog,Male,Brn,Body,Germany
2015,1,Unknown,Unknown,Unknown,Unknown,Unknown,France
2015,1,Dog,Pit Bull,Unknown,Unknown,Body,Belgium
2015,1,Dog,Airedale Ter,Female,Blk Tan,Unknown,Netherlands
2015,1,Dog,Pit Bull,Male,Tan/Wht,Head,England
2015,1,Dog,Pit Bull,Male,Blk/Wht,Body,Belgium
2015,1,Dog,Germ Shepherd,Female,Black Brn,Body,Ireland
2015,1,Dog,Unknown,Male,Blonde,Head,Belgium
2015,1,Dog,Pit Bull,Male,Brindle,Body,Netherlands
2015,1,Dog,Rottweiler,Male,Black,Body,Netherlands
2015,1,Dog,Maltase,Male,Unknown,Body,Germany
2015,1,Dog,Chichauhua,Male,Brown,Body,Belgium
2015,1,Dog,Dotson,Male,Brown,Body,England
2015,1,Dog,Weiner Dog,Female,Choc/grey,Body,Ireland
2015,1,Dog,Boston Terrier,Unknown,Unknown,Body,Belgium
2015,1,Dog,Cocker Spaniel,Male,Unknown,Body,Belgium
2015,1,Dog,Unknown,Unknown,Brown Wht,Body,Netherlands
2015,1,Dog,Unknown,Unknown,Brn Beige,Unknown,Netherlands
2015,1,Dog,Boxer,Female,Brown,Body,Ireland
2015,1,Dog,Pit Bull,Unknown,Grey Wht,Body,Belgium
2015,1,Dog,Pit Bull,Male,Wht Tan,Body,France
